cycle,if_valid,if_pc,if_instr,id_valid,id_pc,id_instr,ex_valid,ex_pc,ex_instr,mem_valid,mem_pc,mem_instr,wb_valid,wb_pc,wb_instr,wb_we,wb_rd,wb_wdata,stall,flush,redirect,redirect_target
68,1,0x00000110,0x00000013,1,0x0000010c,0x00000013,1,0x00000108,0x00000013,1,0x00000104,0x12000813,1,0x00000100,0x00000013,1,0,0x00000000,0,0,0,0x0000010c
69,1,0x00000114,0x000808e7,1,0x00000110,0x00000013,1,0x0000010c,0x00000013,1,0x00000108,0x00000013,1,0x00000104,0x12000813,1,16,0x00000120,0,0,0,0x00000110
70,1,0x00000118,0x00a00913,1,0x00000114,0x000808e7,1,0x00000110,0x00000013,1,0x0000010c,0x00000013,1,0x00000108,0x00000013,1,0,0x00000000,0,0,0,0x00000114
71,1,0x0000011c,0x00b00993,1,0x00000118,0x00a00913,1,0x00000114,0x000808e7,1,0x00000110,0x00000013,1,0x0000010c,0x00000013,1,0,0x00000000,0,1,1,0x00000120
72,1,0x00000120,0x00c00913,0,0x0000011c,0x00000013,0,0x00000118,0x00a00913,1,0x00000114,0x000808e7,1,0x00000110,0x00000013,1,0,0x00000000,0,0,0,0x0000011c
73,1,0x00000124,0x00000013,1,0x00000120,0x00c00913,0,0x0000011c,0x00000013,0,0x00000118,0x00a00913,1,0x00000114,0x000808e7,1,17,0x00000118,0,0,0,0x00000120
74,1,0x00000128,0x00000013,1,0x00000124,0x00000013,1,0x00000120,0x00c00913,0,0x0000011c,0x00000013,0,0x00000118,0x00a00913,0,18,0x0000000a,0,0,0,0x00000124
75,1,0x0000012c,0x00000013,1,0x00000128,0x00000013,1,0x00000124,0x00000013,1,0x00000120,0x00c00913,0,0x0000011c,0x00000013,0,0,0x00000000,0,0,0,0x00000128
76,1,0x00000130,0x00000013,1,0x0000012c,0x00000013,1,0x00000128,0x00000013,1,0x00000124,0x00000013,1,0x00000120,0x00c00913,1,18,0x0000000c,0,0,0,0x0000012c
77,1,0x00000134,0x00000013,1,0x00000130,0x00000013,1,0x0000012c,0x00000013,1,0x00000128,0x00000013,1,0x00000124,0x00000013,1,0,0x00000000,0,0,0,0x00000130
78,1,0x00000138,0x00000013,1,0x00000134,0x00000013,1,0x00000130,0x00000013,1,0x0000012c,0x00000013,1,0x00000128,0x00000013,1,0,0x00000000,0,0,0,0x00000134
79,1,0x0000013c,0x00000013,1,0x00000138,0x00000013,1,0x00000134,0x00000013,1,0x00000130,0x00000013,1,0x0000012c,0x00000013,1,0,0x00000000,0,0,0,0x00000138
80,1,0x00000140,0x00000013,1,0x0000013c,0x00000013,1,0x00000138,0x00000013,1,0x00000134,0x00000013,1,0x00000130,0x00000013,1,0,0x00000000,0,0,0,0x0000013c
81,1,0x00000144,0x00000013,1,0x00000140,0x00000013,1,0x0000013c,0x00000013,1,0x00000138,0x00000013,1,0x00000134,0x00000013,1,0,0x00000000,0,0,0,0x00000140
82,1,0x00000148,0x00000013,1,0x00000144,0x00000013,1,0x00000140,0x00000013,1,0x0000013c,0x00000013,1,0x00000138,0x00000013,1,0,0x00000000,0,0,0,0x00000144
83,1,0x0000014c,0x00000013,1,0x00000148,0x00000013,1,0x00000144,0x00000013,1,0x00000140,0x00000013,1,0x0000013c,0x00000013,1,0,0x00000000,0,0,0,0x00000148
